UID,ARR,RWY,THR_TIME,C40_TIME,C40_BRG,C40_LAT,C40_LON,C40_ALT,C40_DIST,C40_OFFSET,C50_TIME,C50_BRG,C50_LAT,C50_LON,C50_ALT,C50_DIST,C50_OFFSET,C100_TIME,C100_BRG,C100_LAT,C100_LON,C100_ALT,C100_DIST,C100_OFFSET
406b49-VIR624W-2021-05-21-0,TRUE,27R,2021-05-21T05:21:06Z,2021-05-21T05:02:40Z,265.9773533411706,51.42397605766684,-1.525726318359375,17275,73985.05184248461,94.94815751539136,2021-05-21T05:01:09Z,268.7248273437425,51.45209360930879,-1.796340942382812,18550,92571.31365224328,28.68634775672399,2021-05-21T04:53:58Z,277.84411030326726,51.69779632051112,-3.115997314453125,30700,185304.14220556407,104.14220556407236
406b62-BAW9PW-2021-05-21-0,TRUE,27L,2021-05-21T14:14:34Z,2021-05-21T13:56:11Z,204.78838012229085,50.86562851728019,-0.9075164794921876,10700,74179.74905235595,99.74905235595361,2021-05-21T13:54:27Z,206.4325225063038,50.72557067871094,-1.051718222128386,11025,92618.46897799603,18.468977996031754,2021-05-21T13:46:19Z,202.38816415632908,49.93165096994174,-1.462963207347968,27250,185279.18551652654,79.18551652654423
406b62-SHT88D-2021-05-21-0,TRUE,27R,2021-05-21T19:22:48Z,2021-05-21T19:09:15Z,323.697596998554,52.0061583438162,-1.097298758370528,12975,73976.47152804605,103.52847195394861,2021-05-21T19:07:47Z,320.75033453683966,52.11447143554688,-1.312484741210938,15400,92556.00838511449,43.99161488551181,2021-05-21T19:00:23Z,317.740253320064,52.70205688476562,-2.283096313476562,29000,185219.38751697444,19.387516974442406
406c39-VIR686Q-2021-05-21-0,TRUE,27L,2021-05-21T18:50:54Z,2021-05-21T18:34:01Z,264.82214800121557,51.41056901317531,-1.524734497070312,13825,74046.95140354561,33.04859645439137,2021-05-21T18:32:23Z,267.6075007772616,51.43588256835938,-1.795373865075987,17450,92578.4379130119,21.56208698809496,2021-05-21T18:24:53Z,277.157723731287,51.67790222167969,-3.118038692989842,31125,185194.9845163026,5.015483697410673
406c3a-VIR526-2021-05-21-0,TRUE,27R,2021-05-21T06:27:24Z,2021-05-21T06:11:51Z,211.38135415561044,50.90185546875,-1.015418800147813,15625,74160.35648214801,80.3564821480104,2021-05-21T06:10:18Z,214.0045453857417,50.78155517578125,-1.202621459960938,17650,92526.44592163118,73.55407836881932,2021-05-21T06:02:10Z,240.32231230392566,50.64724731445312,-2.760748612253337,29300,185109.49809241705,90.50190758294775
406c3b-VIR516-2021-05-21-0,TRUE,27R,2021-05-21T07:37:42Z,2021-05-21T07:19:37Z,321.6966553079907,51.99261164261122,-1.127668108258888,15250,74049.81873097217,30.18126902783115,2021-05-21T07:17:56Z,320.38191676425396,52.11108708785752,-1.319144112723166,17950,92557.66953725275,42.33046274725348,2021-05-21T07:10:39Z,316.40641247894365,52.67568969726562,-2.328720092773438,33025,185221.2046102603,21.204610260290792
406d77-BAW80G-2021-05-21-0,TRUE,27R,2021-05-21T07:46:52Z,2021-05-21T07:27:33Z,261.1534866497226,51.36836242675781,-1.515296729835313,13900,74004.04220944556,75.95779055444291,2021-05-21T07:25:53Z,264.52242298673025,51.39115905761719,-1.790697252428231,16300,92641.49266370767,41.492663707671454,2021-05-21T07:18:17Z,270.9877781663565,51.49928283691406,-3.133404705975522,27800,185205.53068936506,5.530689365055878
406d79-BAW917-2021-05-21-0,TRUE,27L,2021-05-21T13:09:06Z,2021-05-21T12:55:02Z,70.3883078430722,51.69410705566406,0.5475348395270271,11400,74127.672499142,47.67249914200511,2021-05-21T12:52:58Z,71.5395548935004,51.73382775258209,0.8075714111328125,14450,92537.56860367108,62.43139632891689,2021-05-21T12:44:02Z,82.43338485521775,51.68975830078125,2.193034404032939,30800,185263.29638187544,63.296381875436055
406d7a-BAW637-2021-05-21-0,TRUE,27L,2021-05-21T17:39:49Z,2021-05-21T17:24:26Z,122.26702744801054,51.11503601074219,0.4386365735853041,12475,74140.26499787092,60.26499787092325,2021-05-21T17:22:35Z,123.95473305828938,51.00584385758739,0.6404876708984375,15825,92627.45913502849,27.459135028489982,2021-05-21T17:14:26Z,126.63903873494655,50.47775527178231,1.658267459353885,30925,185195.03553821845,4.964461781550199
406e0f-VIR239-2021-05-21-0,TRUE,27R,2021-05-21T20:12:10Z,2021-05-21T19:58:12Z,74.53557430643434,51.64798542604608,0.5693817138671875,11775,74055.994900829,24.005099171001348,2021-05-21T19:56:14Z,74.32843713760496,51.69525146484375,0.82672119140625,14625,92579.30418121122,20.695818788779434,2021-05-21T19:48:39Z,77.33834847111518,51.83509826660156,2.153171848606419,30975,185104.2401737319,95.75982626809855
406e10-VIR301C-2021-05-21-0,TRUE,27L,2021-05-21T14:36:53Z,2021-05-21T14:24:50Z,119.67768144813567,51.14145052635063,0.4619598388671875,12750,74003.25159033651,76.74840966348711,2021-05-21T14:23:06Z,122.55777219096626,51.02311706542969,0.6576950485641891,16950,92563.62448862422,36.37551137577975,2021-05-21T14:15:15Z,127.29739711596625,50.46295166015625,1.638697574013158,31725,185108.82143127362,91.1785687263764
406ea3-CLU5360-2021-05-21-0,TRUE,27R,2021-05-21T05:05:16Z,2021-05-21T04:41:11Z,72.00374277307014,51.67616271972656,0.5562199773015203,11125,74065.68056182897,14.319438171034562,2021-05-21T04:38:41Z,74.31064064785187,51.69548034667969,0.8264984955658784,14175,92571.14343081876,28.856569181240047,2021-05-21T04:28:54Z,77.54616595337382,51.82942199707031,2.156660750105575,24000,185213.1116007631,13.111600763106253
406f72-BAW3C-2021-05-21-0,TRUE,27R,2021-05-21T09:57:47Z,2021-05-21T09:41:55Z,213.62959625080506,50.91618347167969,-1.050382047086146,14450,74122.73155688947,42.731556889470085,2021-05-21T09:40:26Z,214.68227375007962,50.7861328125,-1.216661607896981,17550,92657.59458381525,57.59458381525474,2021-05-21T09:32:36Z,238.45542309522136,50.59991455078125,-2.717526084498388,29950,185259.09553243336,59.09553243336268
